Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_37,5:GPU,Yes,3702.5,70.2,62.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_37,5:GPU,Yes,3702.5,67.8,56.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_37,5:GPU,Yes,3702.5,69.2,52.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_37,5:GPU,Yes,3702.5,54.8,46.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_37,5:GPU,Yes,3702.5,58.8,45.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_37,5:GPU,Yes,3702.5,70.5,44.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_37,5:GPU,Yes,3702.5,53.8,34.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_31,4:GPU,Yes,3337.6,97.3,81.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_31,4:GPU,Yes,3337.6,94.2,83.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_31,4:GPU,Yes,3337.6,80.7,97.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_31,4:GPU,Yes,3337.6,62.0,60.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_31,4:GPU,Yes,3337.6,60.8,57.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_31,4:GPU,Yes,3337.6,66.2,50.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_31,4:GPU,Yes,3337.6,79.8,54.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_31,4:GPU,Yes,3337.6,44.5,43.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_31,4:GPU,Yes,3337.6,39.8,38.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_31,4:GPU,Yes,3337.6,65.8,35.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_29,4:GPU,Yes,3111.1,98.0,83.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_29,4:GPU,Yes,3111.1,94.7,83.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_29,4:GPU,Yes,3111.1,87.7,81.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_29,4:GPU,Yes,3111.1,85.7,75.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_29,4:GPU,Yes,3111.1,86.0,70.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_29,4:GPU,Yes,3111.1,47.0,49.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_29,4:GPU,Yes,3111.1,60.8,49.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_29,4:GPU,Yes,3111.1,57.0,44.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_29,4:GPU,Yes,3111.1,63.0,43.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_29,4:GPU,Yes,3111.1,57.7,40.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_29,4:GPU,Yes,3111.1,63.5,41.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_38,5:GPU,Yes,3796.9,89.7,80.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_38,5:GPU,Yes,3796.9,79.0,76.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_38,5:GPU,Yes,3796.9,78.3,88.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_38,5:GPU,Yes,3796.9,82.2,72.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_38,5:GPU,Yes,3796.9,78.3,69.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_38,5:GPU,Yes,3796.9,61.0,53.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_38,5:GPU,Yes,3796.9,64.5,54.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_38,5:GPU,Yes,3796.9,59.7,44.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_38,5:GPU,Yes,3796.9,56.7,41.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_38,5:GPU,Yes,3796.9,74.2,46.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_38,5:GPU,Yes,3796.9,58.0,40.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_36,5:GPU,Yes,3650.1,96.7,82.8
